         Abide1             Abode/Abided2                 Abode/Abided/Abidden3         Abides4         Abiding5   
        Wed1       Wed/Wedded2            Wed/Wedded3                   Weds4                    Wedding5 

        Weep1              Wept2                         Wept3                         Weeps4                   Weeping5 

        Wend1       Wended/Went2          Wended/Went3                  Wends4                   Wending5 

        Wet1               Wet/Wetted2                 Wet/Wetted3                   Wets4                    Wetting5 

        Win1               Won2                          Won3                          Wins4                    Winning5 

        Wind1              Wound2                        Wound3                        Winds4                   Winding5 

        Withdraw1     Withdrew2            Withdrawn3                    Withdraws4               Withdrawing5 

        Withhold1    Withheld2           Withheld3              Withholds4               Withholding5 

        Withstand1     Withstood2      Withstood3                    Withstands4              Withstanding5 

        Wring1             Wrung2                        Wrung3                        Wrings4                  Wringing5 

        Write1             Wrote2                        Written3                      Writes4                  Writing5 

        Zinc1              Zinced/Zincked2               Zinced/Zincked3               Zincs4                   Zincking5 
